Time,D1_PosX,D1_PosY,D1_PosZ,D1_VelX,D1_VelY,D1_VelZ,D1_Qw,D1_Qx,D1_Qy,D1_Qz,D1_RateP,D1_RateQ,D1_RateR,D2_PosX,D2_PosY,D2_PosZ,D2_VelX,D2_VelY,D2_VelZ,D2_Qw,D2_Qx,D2_Qy,D2_Qz,D2_RateP,D2_RateQ,D2_RateR
5.600000000000000117e-02,0.000000000000000000e+00,6.119148027679803146e-05,-2.521712314350572220e-02,0.000000000000000000e+00,-2.031997912497975414e-03,-8.691168315549464563e-01,9.999941542393798732e-01,3.419281661120549508e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.469878300187830444e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.800000000000000294e-02,0.000000000000000000e+00,6.935806464432020654e-05,-2.698524960225393010e-02,0.000000000000000000e+00,-2.153753335863534037e-03,-8.990224585993135120e-01,9.999936430333363768e-01,3.565654628121129894e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.457599507779256953e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,0.000000000000000000e+00,7.823094515386837971e-05,-2.881317861185062057e-02,0.000000000000000000e+00,-2.276271454905772623e-03,-9.289216078776414420e-01,9.999931150145078274e-01,3.710784767694841248e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.445023117874701390e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.199999999999999956e-02,0.000000000000000000e+00,8.783877184197495845e-05,-3.070089677180416754e-02,0.000000000000000000e+00,-2.399403504211261324e-03,-9.588140661495504480e-01,9.999925708211229169e-01,3.854646880376911330e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.432240349371330934e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000133e-02,0.000000000000000000e+00,9.820993275927953150e-05,-3.264839024530611505e-02,0.000000000000000000e+00,-2.523013319551261919e-03,-9.886996202947784251e-01,9.999920110676551177e-01,3.997224146543319756e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.419327578496374365e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.600000000000000311e-02,0.000000000000000000e+00,1.093725503517455224e-04,-3.465564475977915559e-02,0.000000000000000000e+00,-2.646976285818445837e-03,-1.018578057316152696e+00,9.999914363442706788e-01,4.138506751647188196e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.406348528979222690e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000000000488e-02,0.000000000000000000e+00,1.213544792411061539e-04,-3.672264560742940359e-02,0.000000000000000000e+00,-2.771178342969341304e-03,-1.048449164343487228e+00,9.999908472167209350e-01,4.278490714702478000e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.393356146825124875e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,0.000000000000000000e+00,1.341833051712599384e-04,-3.884937764580294328e-02,0.000000000000000000e+00,-2.895515053410844305e-03,-1.078312728638257223e+00,9.999902442265760083e-01,4.417176890731681210e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.380394204818727877e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.200000000000000844e-02,0.000000000000000000e+00,1.478863449219609881e-04,-4.103582529834660930e-02,0.000000000000000000e+00,-3.019890732206717901e-03,-1.108168537598920533e+00,9.999896278917167480e-01,4.554570122084593276e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.367498675438344191e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.399999999999999634e-02,0.000000000000000000e+00,1.624906470207822457e-04,-4.328197255497311796e-02,0.000000000000000000e+00,-3.144217639930444938e-03,-1.138016378766770531e+00,9.999889987070158526e-01,4.690678517127034979e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.354698905335641745e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.599999999999999811e-02,0.000000000000000000e+00,1.780229931096835030e-04,-4.558780297263081288e-02,0.000000000000000000e+00,-3.268415236850030249e-03,-1.167856039832223081e+00,9.999883571451533282e-01,4.825512837876987093e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.342018619798712453e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.799999999999999989e-02,0.000000000000000000e+00,1.945098998442051073e-04,-4.795329967587823317e-02,0.000000000000000000e+00,-3.392409496313557402e-03,-1.197687308641450343e+00,9.999877036575230971e-01,4.959085980804381517e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.329476781556243326e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,0.000000000000000000e+00,2.119776212218547125e-04,-5.037844535746378860e-02,0.000000000000000000e+00,-3.516132274642522638e-03,-1.227509973203289917e+00,9.999870386751953388e-01,5.091412537272540714e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.317088324800342880e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.200000000000000344e-02,0.000000000000000000e+00,2.304521512521114709e-04,-5.286322227891089576e-02,0.000000000000000000e+00,-3.639520734477324701e-03,-1.257323821696365584e+00,9.999863626099073644e-01,5.222508422037832471e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.304864782322193717e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.400000000000000522e-02,0.000000000000000000e+00,2.499592268940220271e-04,-5.540761227110887338e-02,0.000000000000000000e+00,-3.762516818310618957e-03,-1.287128642476370377e+00,9.999856758550623725e-01,5.352390559885669349e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.292814821097539035e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.600000000000000699e-02,0.000000000000000000e+00,2.705243311989393275e-04,-5.801159673490995095e-02,0.000000000000000000e+00,-3.885066768853244479e-03,-1.316924224083465544e+00,9.999849787867196582e-01,5.481076621905063562e-03,0.000000000000000000e+00,0.000000000000000000e+00,1.280944699466921022e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
